concello,wikidata,concelloNombre,qid,label,coord,lat,lon,imagen,web
http://example.org/resource/concello/32022,http://www.wikidata.org/entity/Q1605406,32022,Q1605406,Castrelo de Miño,Point(-8.066666666 42.294444444),42.294444444,-8.066666666,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Castrelo%20de%20Mi%C3%B1o.jpg,https://www.castrelo.gal/
http://example.org/resource/concello/32023,http://www.wikidata.org/entity/Q1607646,32023,Q1607646,Castro Caldelas,Point(-7.415555555 42.375),42.375,-7.415555555,http://commons.wikimedia.org/wiki/Special:FilePath/19.02%20castro%20caldelas%202000.jpg,https://turismo.ribeirasacra.org/en/castro-caldelas
http://example.org/resource/concello/32024,http://www.wikidata.org/entity/Q1605505,32024,Q1605505,Celanova,Point(-7.956666666 42.150833333),42.150833333,-7.956666666,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20de%20Celanova%20-%20Galiza.jpg,http://www.celanova.gal/
http://example.org/resource/concello/32025,http://www.wikidata.org/entity/Q1607762,32025,Q1607762,Cenlle,Point(-8.087777777 42.3425),42.3425,-8.087777777,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20de%20Cenlle.jpg,
http://example.org/resource/concello/32026,http://www.wikidata.org/entity/Q1605474,32026,Q1605474,Coles,Point(-7.839722222 42.412222222),42.412222222,-7.839722222,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20de%20Coles.JPG,http://www.concellodecoles.org/
http://example.org/resource/concello/32027,http://www.wikidata.org/entity/Q1645016,32027,Q1645016,Cortegada,Point(-8.169166666 42.206944444),42.206944444,-8.169166666,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Cortegada.JPG,
http://example.org/resource/concello/32028,http://www.wikidata.org/entity/Q601546,32028,Q601546,Cualedro,Point(-7.583055555 41.983055555),41.983055555,-7.583055555,http://commons.wikimedia.org/wiki/Special:FilePath/Parroquia%20Santa%20Mar%C3%ADa%20Cualedro%2006.JPG,
http://example.org/resource/concello/32029,http://www.wikidata.org/entity/Q1628152,32029,Q1628152,Chandreja de Queija,Point(-7.426111111 42.240277777),42.240277777,-7.426111111,http://commons.wikimedia.org/wiki/Special:FilePath/Chandrexa%20de%20Queixa%2C%20Celeiros%2C%20Casa%20do%20Concello.JPG,
http://example.org/resource/concello/32030,http://www.wikidata.org/entity/Q1606243,32030,Q1606243,Entrimo,Point(-8.140833333 41.940833333),41.940833333,-8.140833333,http://commons.wikimedia.org/wiki/Special:FilePath/Igrexaentrimonoinverno.JPG,
http://example.org/resource/concello/32031,http://www.wikidata.org/entity/Q1607520,32031,Q1607520,Esgos,Point(-7.697222222 42.325),42.325,-7.697222222,http://commons.wikimedia.org/wiki/Special:FilePath/Esgos%2C%2001-05.JPG,http://www.concelloesgos.com/
http://example.org/resource/concello/32032,http://www.wikidata.org/entity/Q918637,32032,Q918637,Ginzo de Limia,Point(-7.723888888 42.063611111),42.063611111,-7.723888888,http://commons.wikimedia.org/wiki/Special:FilePath/Mosteiro%20do%20Bon%20Xes%C3%BAs%20de%20Trandeiras%20-%20Xinzo%20de%20Limia%20-%20Ourense.jpg,https://www.xinzodelimia.gal/
http://example.org/resource/concello/32034,http://www.wikidata.org/entity/Q677485,32034,Q677485,La Gudiña,Point(-7.137841666 42.060794444),42.060794444,-7.137841666,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Gudi%C3%B1a%2002.jpg,
http://example.org/resource/concello/32035,http://www.wikidata.org/entity/Q663077,32035,Q663077,Irijo,Point(-8.118333333 42.511944444),42.511944444,-8.118333333,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20do%20Irixo.JPG,
http://example.org/resource/concello/32036,http://www.wikidata.org/entity/Q1607462,32036,Q1607462,Junquera de Ambía,Point(-7.734986111 42.204291666),42.204291666,-7.734986111,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20do%20Xunqueira%20de%20Amb%C3%ADa.JPG,http://xunqueiradeambia.org/
http://example.org/resource/concello/32037,http://www.wikidata.org/entity/Q1596784,32037,Q1596784,Junquera de Espadañedo,Point(-7.628611111 42.3175),42.3175,-7.628611111,http://commons.wikimedia.org/wiki/Special:FilePath/Xunqueira%20de%20Espada%C3%B1edo.JPG,https://www.xunqueiradeespadanedo.es/gl/
http://example.org/resource/concello/32038,http://www.wikidata.org/entity/Q1631787,32038,Q1631787,Laroco,Point(-7.1632358 42.3466038),42.3466038,-7.1632358,http://commons.wikimedia.org/wiki/Special:FilePath/Igrexia%20de%20Larouco.jpg,
http://example.org/resource/concello/32039,http://www.wikidata.org/entity/Q1631843,32039,Q1631843,Laza,Point(-7.461388888 42.060555555),42.060555555,-7.461388888,http://commons.wikimedia.org/wiki/Special:FilePath/Igrexa%20de%20Santa%20Mar%C3%ADa%20de%20Retorta%2C%20Laza.jpg,http://www.laza.es/
http://example.org/resource/concello/32040,http://www.wikidata.org/entity/Q1607634,32040,Q1607634,Leiro,Point(-8.124722222 42.369166666),42.369166666,-8.124722222,http://commons.wikimedia.org/wiki/Special:FilePath/Mosteiro%20de%20San%20Clodio%20de%20Leiro%202.jpg,http://www.concellodeleiro.com/
http://example.org/resource/concello/32041,http://www.wikidata.org/entity/Q1644975,32041,Q1644975,Lobera,Point(-8.043055555 41.998888888),41.998888888,-8.043055555,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20concello%2C%20Lobeira%2C%20Ourense%2007.JPG,http://www.lobeira.es/
http://example.org/resource/concello/32042,http://www.wikidata.org/entity/Q1606028,32042,Q1606028,Lobios,Point(-8.084444444 41.875277777),41.875277777,-8.084444444,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Lobios.JPG,https://www.lobios.org/
http://example.org/resource/concello/32043,http://www.wikidata.org/entity/Q1617896,32043,Q1617896,Maceda,Point(-7.650832 42.2707963),42.2707963,-7.650832,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Maceda.jpg,http://www.concellodemaceda.com/
http://example.org/resource/concello/32045,http://www.wikidata.org/entity/Q1605484,32045,Q1605484,Maside,Point(-8.024166666 42.413055555),42.413055555,-8.024166666,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20de%20Maside.JPG,http://www.concellodemaside.gal/
http://example.org/resource/concello/32047,http://www.wikidata.org/entity/Q1607660,32047,Q1607660,La Merca,Point(-7.905277777 42.223055555),42.223055555,-7.905277777,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20da%20Merca.JPG,
http://example.org/resource/concello/32048,http://www.wikidata.org/entity/Q1627569,32048,Q1627569,La Mezquita,Point(-7.0451474 42.0114543),42.0114543,-7.0451474,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20da%20Mezquita.JPG,https://amezquita.gal/
http://example.org/resource/concello/32050,http://www.wikidata.org/entity/Q1452663,32050,Q1452663,Monterrey,Point(-7.4491474 41.9467657),41.9467657,-7.4491474,http://commons.wikimedia.org/wiki/Special:FilePath/Monterrei%20Galiza.JPG,https://www.monterrei.es/
http://example.org/resource/concello/32051,http://www.wikidata.org/entity/Q1607719,32051,Q1607719,Muiños,Point(-7.985555555 41.954166666),41.954166666,-7.985555555,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Mu%C3%AD%C3%B1os.jpg,
http://example.org/resource/concello/32052,http://www.wikidata.org/entity/Q577578,32052,Q577578,Nogueira de Ramuín,Point(-7.753055555 42.419722222),42.419722222,-7.753055555,http://commons.wikimedia.org/wiki/Special:FilePath/Nogueira%20de%20Ramu%C3%ADn%2C%20Casa%20Consistorial.JPG,http://www.nogueiraderamuin.gal
http://example.org/resource/concello/32053,http://www.wikidata.org/entity/Q523774,32053,Q523774,Oimbra,Point(-7.4725 41.885277777),41.885277777,-7.4725,http://commons.wikimedia.org/wiki/Special:FilePath/Iglesia%20de%20Santa%20Mar%C3%ADa%20de%20Videferre.jpg,
http://example.org/resource/concello/32054,http://www.wikidata.org/entity/Q99151,32054,Q99151,Orense,Point(-7.86406 42.33556),42.33556,-7.86406,http://commons.wikimedia.org/wiki/Special:FilePath/Roman%20bridge%2C%20Ourense%20%28Spain%29.jpg,http://www.ourense.gal/gl/
