PROVINCIA,CODIGO_PROVINCIA,CONCELLO,CODIGO_CONCELLO,PRAIA,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA
Lugo,27,Barreiros,27792,Fontela,,700,Praia aberta,Fina,43.56172/-7.20108,43.56172,-7.20108,https://www.turismo.gal/recurso/-/detalle/9830/fontela-balea
Lugo,27,Burela,27902,Marosa,Burela (Santa María),300,Praia aberta,Fina,43.67486/-7.372333,43.67486,-7.372333,http://www.turismo.gal/ficha-recurso?cod_rec=9841  
Lugo,27,Burela,27902,Portelo,Burela (Santa María),700,Praia resgardada,Fina,43.664399/-7.3592247,43.664399,-7.3592247,http://www.turismo.gal/ficha-recurso?cod_rec=10169 
Lugo,27,Cervo,27013,O Torno,San Cibrao - Lieiro (Santa María),700,Praia resgardada,Fina,43.698333/-7.438889,43.698333,-7.438889,http://www.turismo.gal/ficha-recurso?cod_rec=10174
Lugo,27,Foz,27019,A Rapadoira,Foz - Foz (Santiago),270,Praia resgardada,Fina,43.57202500/-7.24855500,43.57202500,-7.24855500,http://www.turismo.gal/recurso?cod_rec=9833
Lugo,27,Foz,27019,Areoura,,120,Praia resgardada,Fina,43.64000000/-7.34416600,43.64000000,-7.34416600,http://www.turismo.gal/recurso?cod_rec=11411
Lugo,27,Foz,27019,Area da Fame,,280,Praia aberta,Fina,43.620277/-7.318333,43.620277,-7.318333,http://www.turismo.gal/ficha-recurso?cod_rec=10163
Lugo,27,Foz,27019,Llas,,760,Praia aberta,Fina,43.580277/-7.262778,43.580277,-7.262778,http://www.turismo.gal/ficha-recurso?cod_rec=9836  
Lugo,27,Foz,27019,Peizás,,540,Praia aberta,Fina,43.5875/-7.27861,43.5875,-7.27861,http://www.turismo.gal/ficha-recurso?cod_rec=10161  
Lugo,27,Ribadeo,27051,As Catedrais beach,,,Monumento Natural: 28/94 ha/ das cales 20 ha son augas mariñas. LIC: 304/36 ha,,43.554221/-7.155308,43.554221,-7.155308,http://www.turismo.gal/ficha-recurso?cod_rec=32008
Lugo,27,Ribadeo,27051,Os Castros,A Rochela - A Devesa (Santalla),500,Praia aberta,Fina,43.55534/-7.132955,43.55534,-7.132955,http://www.turismo.gal/ficha-recurso?cod_rec=9823  
Lugo,27,O Vicedo,27064,Abrela,Abrela - Suegos (Santa María),950,Praia resgardada,Fina,43.701822/-7.612778,43.701822,-7.612778,https://www.turismo.gal/recurso/-/detalle/9853
Lugo,27,O Vicedo,27064,Xilloi,Xilloi - O Vicedo (Santo Estevo),940,Praia resgardada,Fina,43.743777/-7.650277,43.743777,-7.650277,http://www.turismo.gal/ficha-recurso?cod_rec=9852
Lugo,27,Viveiro,27066,Beach of Area,Area - Faro (San Xiao),1200,Praia resgardada,Fina,43.694166/-7.57611,43.694166,-7.57611,http://www.turismo.gal/ficha-recurso?cod_rec=10146
Lugo,27,Xove,27025,Beach of Esteiro/ Xuances,Ceranzos - Xuances (San Pedro),400,Praia aberta,Fina,43.711944/-7.559139,43.711944,-7.559139,http://www.turismo.gal/ficha-recurso?cod_rec=10148  
Pontevedra Province,36,Baiona,36300,Pequeña de Miño,Baiona (Santa María),170,Praia resgardada,Fina,42.12164/-8.84911,42.12164,-8.84911,http://www.turismo.gal/ficha-recurso?cod_rec=10522  
Pontevedra Province,36,Baiona,36300,Barbeira,Baiona (Santa María),220,Praia resgardada,Fina,42.12393/-8.84854,42.12393,-8.84854,http://www.turismo.gal/ficha-recurso?cod_rec=10523
Pontevedra Province,36,Baiona,36300,Concheira,Paseo de Pinzón - Baiona (Santa María),75,Praia aberta,Grosa,42.12268/-8.85157,42.12268,-8.85157,http://www.turismo.gal/ficha-recurso?cod_rec=10525
Pontevedra Province,36,Baiona,36300,Os Frades,Baiona (Santa María),80,Praia aberta,Grosa,42.12574/-8.85184,42.12574,-8.85184,http://www.turismo.gal/ficha-recurso?cod_rec=10524
Pontevedra Province,36,Baiona,36308,Playa Marta,,250,Praia resgardada,Fina,42.11455/-8.83817,42.11455,-8.83817,http://www.turismo.gal/ficha-recurso?cod_rec=10521
Pontevedra Province,36,Baiona,36393,Praia Ladeira,Baiona,1700,Praia resgardada,Fina,42.11245394805069/-8.83354753316014,42.11245394805069,-8.83354753316014,https://www.turismo.gal/recurso/-/detalle/9807/ladeira
Pontevedra Province,36,Bueu,36004,Area de Bon,Bon de Arriba - Beluso (Santa María),1000,Praia aberta,Fina,42.314361/-8.818888,42.314361,-8.818888,http://www.turismo.gal/ficha-recurso?cod_rec=10464  
Pontevedra Province,36,Bueu,36004,Lagos,Montemogos - Beluso (Santa María),250,Praia resgardada,Fina,42.324508/-8.825548,42.324508,-8.825548,http://www.turismo.gal/ficha-recurso?cod_rec=10135  
Pontevedra Province,36,Bueu,36004,Lapamán Beach,,800,Praia aberta,Fina,42.341944/-8.7525,42.341944,-8.7525,http://www.turismo.gal/ficha-recurso?cod_rec=11370
Pontevedra Province,36,Bueu,36004,Portomaior,Castrelo - Cela (Santa María),750,Praia aberta,Fina,42.334527/-8.768388,42.334527,-8.768388,http://www.turismo.gal/ficha-recurso?cod_rec=10132  
