nombre,concello,provincia,lat,lon,wikidata,qid,label_wd,label_gl,imagen_url,longitud_wd,lat_wd,lon_wd,municipio_wd,delta_lat,delta_lon
Mera,Oleiros,A Coruña,43.379055,-8.33775,http://www.wikidata.org/entity/Q12398083,Q12398083,Mera,praia de Mera,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20Mera%20-%20panoramio.jpg,520,43.3808,-8.338799999,,0.00174,0.00105
Q28121966,Oleiros,A Coruña,43.382777,-8.3425,http://www.wikidata.org/entity/Q28121966,Q28121966,Playa de Espiñeiro,Espiñeiro,http://commons.wikimedia.org/wiki/Special:FilePath/Q28121966.jpg,250,43.382499999,-8.343,,0.00028,0.0005
Balarés,Ponteceso,A Coruña,43.241665,-8.945277,http://www.wikidata.org/entity/Q28122018,Q28122018,Balarés,Balarés,,350,43.2415,-8.942099999,,0.00016,0.00318
Ermida,Ponteceso,A Coruña,43.26389,-8.95,http://www.wikidata.org/entity/Q28122017,Q28122017,Ermida,Ermida,,250,43.2625,-8.951699999,,0.00139,0.0017
Osmo,Ponteceso,A Coruña,43.294167,-8.902778,http://www.wikidata.org/entity/Q28122016,Q28122016,Osmo,Osmo,,100,43.265199999,-8.9561,,0.02897,0.05332
Fontela,Barreiros,Lugo,43.56172,-7.20108,http://www.wikidata.org/entity/Q28122189,Q28122189,Fontela,Fontela,,1000,43.561499999,-7.197999999,,0.00022,0.00308
San Pedro,Barreiros,Lugo,43.564465,-7.2200447,http://www.wikidata.org/entity/Q28122190,Q28122190,San Pedro,San Pedro,,1900,43.563099999,-7.2124,,0.00137,0.00764
Marosa,Burela,Lugo,43.67486,-7.372333,http://www.wikidata.org/entity/Q28122225,Q28122225,Marosa,praia da Marosa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Marosa%20-%20panoramio.jpg,250,43.673999999,-7.373799999,Burela,0.00086,0.00147
Portelo,Burela,Lugo,43.664399,-7.3592247,http://www.wikidata.org/entity/Q28119618,Q28119618,Portelo,Portelo,,30,43.692299999,-7.433899999,,0.0279,0.07468
O Torno,Cervo,Lugo,43.698333,-7.438889,http://www.wikidata.org/entity/Q28122231,Q28122231,O Torno,O Torno,,650,43.6966,-7.4408,,0.00173,0.00191
A Rapadoira,Foz,Lugo,43.572025,-7.248555,http://www.wikidata.org/entity/Q28122198,Q28122198,A Rapadoira,A Rapadoira,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Rapadoira.jpg,290,43.571999999,-7.248,,3e-05,0.00055
Area Da Fame,Foz,Lugo,43.620277,-7.318333,http://www.wikidata.org/entity/Q28122206,Q28122206,Area da Fame,Area da Fame,http://commons.wikimedia.org/wiki/Special:FilePath/Area%20da%20Fame.jpg,265,43.6207,-7.3189,,0.00042,0.00057
Areoura,Foz,Lugo,43.64,-7.344166,http://www.wikidata.org/entity/Q28122216,Q28122216,Areoura,Areoura,,130,43.640299999,-7.344,,0.0003,0.00017
Llas,Foz,Lugo,43.580277,-7.262778,http://www.wikidata.org/entity/Q9060688,Q9060688,Playa de Llas,Llas,,770,43.579597031,-7.261981808,Foz,0.00068,0.0008
Peizás,Foz,Lugo,43.5875,-7.27861,http://www.wikidata.org/entity/Q28122200,Q28122200,Peizás,Peizás,,295,43.5879,-7.279099999,,0.0004,0.00049
Abrela,O Vicedo,Lugo,43.701822,-7.612778,http://www.wikidata.org/entity/Q28122144,Q28122144,Abrela,praia de Abrela,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20abrela.jpg,900,43.700999999,-7.6129,Suegos,0.00082,0.00012
Xilloi,O Vicedo,Lugo,43.743777,-7.650277,http://www.wikidata.org/entity/Q28122158,Q28122158,Xilloi,praia de Xilloi,,550,43.7429,-7.652,Vicedo,0.00088,0.00172
As Catedrais Beach,Ribadeo,Lugo,43.554221,-7.155308,http://www.wikidata.org/entity/Q2561808,Q2561808,Playa de Las Catedrales,Augas Santas,http://commons.wikimedia.org/wiki/Special:FilePath/As%20Catedrais%20-%20Mari%C3%B1a%20luguesa.jpg,1.5,43.55388889,-7.15722222,Devesa,0.00033,0.00191
Os Castros,Ribadeo,Lugo,43.55534,-7.132955,http://www.wikidata.org/entity/Q28122005,Q28122005,Os Castros,Os Castros,,100,43.5562,-7.137499999,,0.00086,0.00454
Beach Of Area,Viveiro,Lugo,43.694166,-7.57611,http://www.wikidata.org/entity/Q6078571,Q6078571,Playa de Area,Praia de Area,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Area%20Viveiro.jpg,1150,43.689599999,-7.579599999,Vivero,0.00457,0.00349
"Beach Of Esteiro, Xuances",Xove,Lugo,43.711944,-7.559139,http://www.wikidata.org/entity/Q28122238,Q28122238,"Playa de Esteiro, Xuances",praia de Esteiro,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20Esteiro.jpg,400,43.710299999,-7.558599999,Xove,0.00164,0.00054
Area Grande,A Guarda,Pontevedra,41.91025,-8.876166,http://www.wikidata.org/entity/Q28120073,Q28120073,Area Grande,praia de Area Grande,,100,41.915699999,-8.883199999,La Guardia,0.00545,0.00703
O Muíño,A Guarda,Pontevedra,41.876444,-8.862944,http://www.wikidata.org/entity/Q28120087,Q28120087,O Muíño,praia do Muíño,http://commons.wikimedia.org/wiki/Special:FilePath/Camposanco%20-%20panoramio%20%2812%29.jpg,400,41.872099999,-8.8711,Camposancos,0.00434,0.00816
Area Da Secada,A Illa De Arousa,Pontevedra,42.567972,-8.887111,http://www.wikidata.org/entity/Q12398070,Q12398070,Area da Secada,Praia da area da Secada,http://commons.wikimedia.org/wiki/Special:FilePath/Area%20da%20Secada.jpg,400,42.5677,-8.887099999,Isla de Arosa,0.00027,1e-05
Camaxe,A Illa De Arousa,Pontevedra,42.544389,-8.867499,http://www.wikidata.org/entity/Q28119833,Q28119833,Camaxe,Camaxe,,100,42.545899999,-8.861799999,,0.00151,0.0057
Barbeira,Baiona,Pontevedra,42.12393,-8.84854,http://www.wikidata.org/entity/Q20543479,Q20543479,Barbeira,Praia de Barbeira,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20Barbeira%20y%20castillo%20de%20Monterreal%20-%20panoramio.jpg,220,42.123292,-8.848386,Bayona,0.00064,0.00015
