municipality,municipalityName,provinceName,wd,numSpaces,avgCapacity,population,coord,officialWebsite,wikidataLabel,wikidataLat,wikidataLon,spacesPer100k
http://example.org/resource/concello/Monforte%20de%20Lemos,Monforte de Lemos,Lugo Province,http://www.wikidata.org/entity/Q818341,1,478.0,18933.0,Point(-7.516111111 42.516388888),http://www.monfortedelemos.es/,Monforte de Lemos,42.516388888,-7.516111111,5.281783129984683
http://example.org/resource/concello/O%20Carballi%C3%B1o,O Carballiño,Ourense,http://www.wikidata.org/entity/Q1607558,1,426.0,14249.0,Point(-8.077466 42.429638),http://www.carballino.gal/,Carballino,42.429638,-8.077466,7.01803635342831
http://example.org/resource/concello/Vimianzo,Vimianzo,A Coruña Province,http://www.wikidata.org/entity/Q1616162,1,420.0,6768.0,Point(-9.034444444 43.11),https://www.vimianzo.gal/,Vimianzo,43.11,-9.034444444,14.775413711583925
http://example.org/resource/concello/As%20Pontes%20de%20Garc%C3%ADa%20Rodr%C3%ADguez,As Pontes de García Rodríguez,A Coruña Province,http://www.wikidata.org/entity/Q1442761,1,402.0,9796.0,Point(-7.853109 43.4502183),http://www.aspontes.com,Puentes de García Rodríguez,43.4502183,-7.853109,10.208248264597795
http://example.org/resource/concello/Oleiros,Oleiros,A Coruña Province,http://www.wikidata.org/entity/Q688611,1,400.0,38793.0,Point(-8.328708524 43.3547539),https://www.oleiros.org/,Oleiros,43.3547539,-8.328708524,2.5777846518701826
http://example.org/resource/concello/Ponteareas,Ponteareas,Pontevedra Province,http://www.wikidata.org/entity/Q617119,1,400.0,23211.0,Point(-8.5048936 42.1753232),http://www.ponteareas.gal/,Puenteareas,42.1753232,-8.5048936,4.308302098143122
http://example.org/resource/concello/Viveiro,Viveiro,Lugo Province,http://www.wikidata.org/entity/Q641221,1,393.0,15120.0,Point(-7.59 43.648055555),http://www.viveiro.es,Vivero,43.648055555,-7.59,6.613756613756614
http://example.org/resource/concello/A%20Estrada,A Estrada,Pontevedra Province,http://www.wikidata.org/entity/Q1621191,1,388.0,20112.0,Point(-8.487222222 42.689166666),http://www.aestrada.com/,La Estrada,42.689166666,-8.487222222,4.972155926809865
http://example.org/resource/concello/Carballo,Carballo,A Coruña Province,http://www.wikidata.org/entity/Q166137,1,350.0,32120.0,Point(-8.683333333 43.216666666),http://www.carballo.gal,Carballo,43.216666666,-8.683333333,3.1133250311332503
http://example.org/resource/concello/Noia,Noia,A Coruña Province,http://www.wikidata.org/entity/Q818601,1,342.0,14123.0,Point(-8.887777777 42.785),https://concellodenoia.gal,Noya,42.785,-8.887777777,7.080648587410607
http://example.org/resource/concello/Ribadeo,Ribadeo,Lugo Province,http://www.wikidata.org/entity/Q824076,1,330.0,10022.0,Point(-7.043055555 43.537222222),http://ribadeo.gal/,Ribadeo,43.537222222,-7.043055555,9.978048293753742
http://example.org/resource/concello/Tomi%C3%B1o,Tomiño,Pontevedra Province,http://www.wikidata.org/entity/Q1628263,1,322.0,13738.0,Point(-8.731405835 41.9960729),https://tomino.gal,Tomiño,41.9960729,-8.731405835,7.279079924297569
http://example.org/resource/concello/Lal%C3%ADn,Lalín,Pontevedra Province,http://www.wikidata.org/entity/Q1374736,1,320.0,20292.0,Point(-8.1109759 42.6614127),http://www.lalin.gal/,Lalín,42.6614127,-8.1109759,4.928050463236744
http://example.org/resource/concello/Arteixo,Arteixo,A Coruña Province,http://www.wikidata.org/entity/Q996161,1,300.0,34403.0,Point(-8.5 43.3),http://www.arteixo.org/,Arteijo,43.3,-8.5,2.9067232508792835
http://example.org/resource/concello/Sada,Sada,A Coruña Province,http://www.wikidata.org/entity/Q1616081,1,300.0,17421.0,Point(-8.276904353 43.34730565),https://www.concellodesada.com/,Sada,43.34730565,-8.276904353,5.7401986108719365
http://example.org/resource/concello/Boiro,Boiro,A Coruña Province,http://www.wikidata.org/entity/Q735282,1,289.0,18967.0,Point(-8.883333333 42.65),http://www.boiro.org/,Boiro,42.65,-8.883333333,5.272315073548795
http://example.org/resource/concello/Vigo,Vigo,Pontevedra Province,http://www.wikidata.org/entity/Q8745,1,283.0,294489.0,Point(-8.726666666 42.235833333),http://vigo.gal,Vigo,42.235833333,-8.726666666,0.33957125733049454
http://example.org/resource/concello/Redondela,Redondela,Pontevedra Province,http://www.wikidata.org/entity/Q833032,1,278.0,28874.0,Point(-8.6 42.283333),http://www.redondela.gal,Redondela,42.283333,-8.6,3.463323405139572
http://example.org/resource/concello/O%20Barco%20de%20Valdeorras,O Barco de Valdeorras,Ourense,http://www.wikidata.org/entity/Q1607428,1,275.0,13368.0,Point(-6.983055555 42.416666666),https://www.concellodobarco.gal/,El Barco de Valdeorras,42.416666666,-6.983055555,7.480550568521843
http://example.org/resource/concello/A%20R%C3%BAa%20de%20Valdeorras,A Rúa de Valdeorras,Ourense,http://www.wikidata.org/entity/Q1607619,1,265.0,4214.0,Point(-7.114141666 42.395088888),http://www.arua.es/,Rúa,42.395088888,-7.114141666,23.730422401518748
http://example.org/resource/concello/Cambados,Cambados,Pontevedra Province,http://www.wikidata.org/entity/Q695477,1,250.0,13787.0,Point(-8.8138414 42.51439),http://www.cambados.es/ | http://www.cambados.gal,Cambados,42.51439,-8.8138414,7.253209545223761
http://example.org/resource/concello/Foz,Foz,Lugo Province,http://www.wikidata.org/entity/Q917878,1,250.0,10329.0,Point(-7.2550407 43.5688659),http://www.concellodefoz.es/,Foz,43.5688659,-7.2550407,9.68147933004163
http://example.org/resource/concello/Gondomar,Gondomar,Pontevedra Province,http://www.wikidata.org/entity/Q1607596,1,250.0,15066.0,Point(-8.761388888 42.110833333),https://concellodegondomar.gal/,Gondomar,42.110833333,-8.761388888,6.637461834594451
http://example.org/resource/concello/Ortigueira,Ortigueira,A Coruña Province,http://www.wikidata.org/entity/Q1375842,1,250.0,5384.0,Point(-7.85 43.683055555),http://concellodeortigueira.gal/,Ortigueira,43.683055555,-7.85,18.573551263001484
http://example.org/resource/concello/Cedeira,Cedeira,A Coruña Province,http://www.wikidata.org/entity/Q1113395,1,240.0,6547.0,Point(-8.05 43.65),http://www.cedeira.es,Cedeira,43.65,-8.05,15.27417137620284
http://example.org/resource/concello/Betanzos,Betanzos,A Coruña Province,http://www.wikidata.org/entity/Q671341,1,220.0,13533.0,Point(-8.2106329 43.2791691),http://www.betanzos.es/,Betanzos,43.2791691,-8.2106329,7.389344565137073
http://example.org/resource/concello/Cee,Cee,A Coruña Province,http://www.wikidata.org/entity/Q988707,1,175.0,7731.0,Point(-9.19 42.955555555),https://www.cee.gal,Cee,42.955555555,-9.19,12.934937265554261
http://example.org/resource/concello/Muros,Muros,A Coruña Province,http://www.wikidata.org/entity/Q578957,1,160.0,8173.0,Point(-9.0575 42.774444444),http://www.muros.es/,Muros,42.774444444,-9.0575,12.23540927444023
